capital_city,Dutse,Tudun Wada,Kano,Funtua,Birnin Kebbi,Sokoto,Jenyau,Yola,Bauchi,Hausari,Gombe,Jalingo,Damaturu,Chigo,Abuja,Lokoja,Lafia,Bida,Jos,Ado-Ekiti,Ikeja,Abeokuta,Ondo,Ibadan,Umuahia,Awka,Abakaliki,Enugu,Owerri,Uyo,Yenagoa,Calabar,Boji-Boji,Benin City,Port Harcourt,Ilorin,Oshogbo
Dutse,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Tudun Wada,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Kano,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,actual,actual,estimated,estimated
Funtua,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Birnin Kebbi,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Sokoto,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Jenyau,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Yola,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Bauchi,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Hausari,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
