capital_city,Dutse,Tudun Wada,Kano,Funtua,Birnin Kebbi,Sokoto,Jenyau,Yola,Bauchi,Hausari,Gombe,Jalingo,Damaturu,Chigo,Abuja,Lokoja,Lafia,Bida,Jos,Ado-Ekiti,Ikeja,Abeokuta,Ondo,Ibadan,Umuahia,Awka,Abakaliki,Enugu,Owerri,Uyo,Yenagoa,Calabar,Boji-Boji,Benin City,Port Harcourt,Ilorin,Oshogbo
Dutse,0.0,78.71757562261077,29.382650075584205,69.47858227064533,175.9879659463289,146.9139343787482,92.50301147092054,138.91765872105643,53.10751140154876,129.75459825454004,80.52260287471599,121.103776136661,71.21769841702341,154.4244793719125,119.74860101794332,163.62239570106962,116.850052400532,146.8056197955369,65.31297369557501,201.17376012531923,272.47212359923896,259.73235371586475,223.5030341586696,239.95441910648142,225.58154032147922,207.65172140048026,193.37303016529296,195.0240938100062,231.8171583413663,238.43895813948208,259.30089080465757,238.4416075467388,218.86376022122676,226.93731819782553,255.00983431395315,199.14433617678938,214.33448171672467
Tudun Wada,78.71757562261077,0.0,63.81905617871653,35.204828433069515,128.2150782102561,115.52755549498542,63.75916959946801,179.06163996999987,83.20546626447306,201.05959484289593,128.52795508546515,146.29799588800134,139.99907697139398,123.66052034836751,46.6899692549825,96.77709294396823,79.70897358144852,68.93370476284227,54.38945169800964,125.22166666884303,194.64979248274065,181.3083239036138,147.77933167101048,161.78708046422616,173.1389567791109,149.6346679830897,147.33373366312327,141.23351897040374,174.9922003321075,190.95439563246782,197.50996878219308,195.1232147992702,153.08611692641037,157.0317442477212,199.2646518722137,120.44505574177185,136.3887014417426
Kano,29.382650075584205,63.81905617871653,0.0,44.028066035988076,146.96490902117304,117.54604018670244,63.4394271713484,166.40857859166,74.07263726161476,157.93868013290768,108.24342958629774,145.23600787955772,100.40827623216279,163.2960478733156,101.45601119999999,157.76193632905665,121.77226646818175,132.40570268393492,71.48708784,189.03165701796797,257.68512563818655,243.5834718883572,211.59155830170934,207.68465496000002,227.51058414347477,206.8341368002687,197.53045578891977,192.32950151999995,231.81383546411558,242.62533065194887,257.02464148809645,244.31541206855715,214.14137870953476,200.91847776000003,249.66827472,181.97592172143186,199.4762715472767
Funtua,69.47858227064533,35.204828433069515,44.028066035988076,0.0,110.36243792262482,88.79557796366572,32.28688945312223,193.7690754202232,95.86278150207119,199.0565295012992,138.24311887265907,165.6605297485377,139.42135568401795,157.01857076422215,79.8129931604544,130.5207735326188,112.95399919707495,95.57412294398843,77.09200937669515,153.02471604699423,218.2235187929625,203.09388384923858,175.4066825317331,184.827045944437,208.24840774043054,184.4023221367415,182.47284781492948,176.35965073225287,209.76452178606357,226.15914388512834,231.394384072081,230.2606087384611,186.3356709028317,188.70077426076622,234.05617310509052,141.2148365048082,160.53524628458868
Birnin Kebbi,175.9879659463289,128.2150782102561,146.96490902117304,110.36243792262482,0.0,40.015757172008946,83.52810690990638,303.6601093320403,205.67252539199572,304.61098724164754,248.6047711503789,273.5279607932058,247.20438152963064,242.47222993693322,144.82617384882315,183.15351577056356,201.45602071457466,132.18685519681583,181.97649802765287,171.14869287412034,205.07290530834143,185.80944158259598,187.23546294867793,176.17137017612296,265.51017216320076,237.71388882861936,251.23673864501595,237.09751864639998,260.5079884016792,287.40146545058775,270.3615509850868,295.8886801219551,225.49076810570628,217.54489026242146,282.98678950263144,137.64874158830608,162.3428505053104
Sokoto,146.9139343787482,115.52755549498542,117.54604018670244,88.79557796366572,40.015757172008946,0.0,57.15549395953063,281.00162120762,183.77714443952436,272.56353782105936,223.96932240107185,254.32312769303275,217.48433042944671,237.54344931573513,144.2428566592477,189.46536022652393,194.28234704014136,140.39686629414038,165.42201547864147,188.38230584256215,232.71009706476184,213.97891970204844,207.1547111289681,201.6493857874255,272.6336329592071,245.66835348360013,253.64841852962488,242.30339925262194,269.9055708269906,293.4024547543409,284.0335283288725,300.3023335617394,238.03099153178132,233.23092119259726,293.4552711787524,159.5993576486946,184.15420940839388
Jenyau,92.50301147092054,63.75916959946801,63.4394271713484,32.28688945312223,83.52810690990638,57.15549395953063,0.0,223.99973445596422,126.62695943526337,221.2305016101778,167.32506426313046,197.24586406854075,163.71679498739556,187.36995706590852,102.4423670399534,152.3324891244327,143.34868585746017,110.07873819051594,109.37773352235013,165.90329164165715,224.57540993547138,207.79766683959278,187.44378443609418,191.3526635294999,233.1835967047869,207.96057158010058,209.687588343642,201.5931282028699,233.15256248897757,252.24576765377287,252.20651790040776,257.35578613492737,206.27890077192797,205.9333007701182,257.369944250748,146.93994292923895,169.01146206832664
Yola,138.91765872105643,179.06163996999987,166.40857859166,193.7690754202232,303.6601093320403,281.00162120762,223.99973445596422,0.0,97.99753687631122,94.14344912608198,58.3956245897859,39.94586886533833,85.55045027339062,135.68000208384902,190.0552895246094,202.92393810741555,138.02539650849968,221.65230740633763,125.32696564765547,255.17953968346046,326.8374041733575,321.46046204372664,272.47070190329396,300.96059875190883,214.13614116418688,213.11105829909812,180.58944823132998,196.27765700811065,227.80991949655538,213.43052352772716,260.26374957684936,205.28868723167741,238.5835684502968,255.62148391745447,243.06362462727546,273.22177118494596,276.8283033889164
Bauchi,53.10751140154876,83.20546626447306,74.07263726161476,95.86278150207119,205.67252539199572,183.77714443952436,126.62695943526337,97.99753687631122,0.0,124.8737106907181,45.403148362775426,71.62546201896279,66.31657404837414,107.47244228005528,106.06617478966419,137.33447614449898,77.63880810818604,137.74860942321297,35.02139729292511,183.7665159115085,257.48603549910604,247.89971350298413,204.6263602394455,227.25689327593702,184.74870417361268,171.09255587239326,150.62094557951443,156.4417290353695,193.38293961226117,194.5856817403316,223.37280646251008,192.7267436875532,187.79036360674456,199.6145415810177,215.11017703036276,191.92176906615947,201.5738653430722
Hausari,129.75459825454004,201.05959484289593,157.93868013290768,199.0565295012992,304.61098724164754,272.56353782105936,221.2305016101778,94.14344912608198,124.8737106907181,0.0,86.49900523633133,119.35967199341178,61.061423963054125,211.2724135674933,230.68190944107369,260.3574727195335,196.48101053740436,262.0225187934911,159.8458762406031,308.392310121938,382.15318501511365,372.77307174351546,328.8834306258639,352.1258546604638,292.9939544856043,285.74799341297177,258.02837683445864,269.53818688956784,304.6918786127203,296.6315816240212,336.6267286949294,290.5426111397926,306.7956956572214,320.7687205805823,323.2682135134576,316.26507292133965,326.44740831087927
Gombe,80.52260287471599,128.52795508546515,108.24342958629774,138.24311887265907,248.6047711503789,223.96932240107185,167.32506426313046,58.3956245897859,45.403148362775426,86.49900523633133,0.0,49.00286631826422,40.72604806229521,126.68339458311554,149.38377120642676,174.62757026419507,110.11855486017629,181.3827513744427,78.86631197758219,223.93975316372428,297.58787361177883,289.27257084922365,243.79552679926886,268.5476077905004,208.24634101678964,199.60504964222002,173.2043627246654,183.58029547912878,219.25901878085497,213.77926665874122,250.89441686560713,209.09854200380906,220.29807576146047,234.3732084478771,238.73647875136504,235.22000748271813,243.16503641163598
Jalingo,121.103776136661,146.29799588800134,145.23600787955772,165.6605297485377,273.5279607932058,254.32312769303275,197.24586406854075,39.94586886533833,71.62546201896279,119.35967199341178,49.00286631826422,0.0,88.48315572072582,97.08589844591626,152.27934877367488,163.0267073874079,98.37973993519383,183.445790302908,91.91443921992722,215.35547376274044,286.89427386221496,281.62251501914153,232.53130990249082,261.15729143474005,177.21771850809097,174.38157254270644,142.96016988904694,157.59316602888725,190.2668021452708,178.5487852378337,222.69393349148007,171.68073033722857,199.21466117363806,215.96872318628127,206.8172612672548,234.2076642877418,237.16815550663145
Damaturu,71.21769841702341,139.99907697139398,100.40827623216279,139.42135568401795,247.20438152963064,217.48433042944671,163.71679498739556,85.55045027339062,66.31657404837414,61.061423963054125,40.72604806229521,88.48315572072582,0.0,164.68003030753852,170.72379392317316,203.60095143652282,142.20876542836146,201.69464770049765,100.61974320277264,249.79365517272845,323.41914220685044,313.2953319172682,270.8384855822782,292.7445730502826,245.47282678751256,234.60981473616516,210.56351267268585,219.1657914592903,255.58159000962078,252.41692727500464,286.57665074948284,248.41909379030471,253.07371632070908,265.56838268570027,276.0367714455647,255.89300327667996,266.964860848497
Chigo,154.4244793719125,123.66052034836751,163.2960478733156,157.01857076422215,242.47222993693322,237.54344931573513,187.36995706590852,135.68000208384902,107.47244228005528,211.2724135674933,126.68339458311554,97.08589844591626,164.68003030753852,0.0,98.13751625960788,80.16050603271867,44.077115075409125,120.04219702560466,90.65795949209448,131.1269875005095,197.18906608733508,195.2175107360026,144.09139700241855,175.83497376357175,81.74141005580593,77.43346944974991,46.75686412759491,60.604268259806716,93.71004992697533,87.89198432577419,125.98493483232215,85.26379677330385,103.55135337735773,121.62113031539386,112.12888131579143,159.19130838381255,154.8467254550426
Abuja,119.74860101794332,46.6899692549825,101.45601119999999,79.8129931604544,144.82617384882315,144.2428566592477,102.4423670399534,190.0552895246094,106.06617478966419,230.68190944107369,149.38377120642676,152.27934877367488,170.72379392317316,98.13751625960788,0.0,50.72517781470255,60.54418997728479,32.057104065908646,55.829666880000005,81.49394704953866,153.83881685999643,142.71318457472057,103.75957787065998,148.13115528000003,130.83012485372356,105.57589509600042,109.44160385985764,87.8281692,130.83715114860652,150.3944004731276,151.5847891654501,156.4379455514453,106.64268871089055,111.84200999999999,145.67585952,85.92098893349043,96.46277111285437
Lokoja,163.62239570106962,96.77709294396823,157.76193632905665,130.5207735326188,183.15351577056356,189.46536022652393,152.3324891244327,202.92393810741555,137.33447614449898,260.3574727195335,174.62757026419507,163.0267073874079,203.60095143652282,80.16050603271867,50.72517781470255,0.0,65.64974023851286,50.98542061353954,104.36168179741371,52.62811732256529,124.20766129481622,118.70199758813612,69.84756308319312,98.40482590418027,83.2140151218141,56.31973739478567,69.72166771331483,53.95037823590602,81.10527524052291,104.488400688381,100.87820395624176,112.74872187729092,56.45742956967688,63.45054928443718,105.1850952431941,79.25452393072577,75.55969188186195
Lafia,116.850052400532,79.70897358144852,121.77226646818175,112.95399919707495,201.45602071457466,194.28234704014136,143.34868585746017,138.02539650849968,77.63880810818604,196.48101053740436,110.11855486017629,98.37973993519383,142.20876542836146,44.077115075409125,60.54418997728479,65.64974023851286,0.0,88.4576041393378,51.539393036974865,117.3048409776579,189.8272781897811,183.57966224412777,135.49230307195268,163.01297757383156,108.96955818510664,93.51758790992908,76.59327850255583,79.30343587607967,116.34690069488937,121.7454346052717,145.81429386350482,122.6404246260916,110.91055083916095,124.28772269748279,138.8273727203037,136.48929714306948,138.81018551083667
Bida,146.8056197955369,68.93370476284227,132.40570268393492,95.57412294398843,132.18685519681583,140.39686629414038,110.07873819051594,221.65230740633763,137.74860942321297,262.0225187934911,181.3827513744427,183.445790302908,201.69464770049765,120.04219702560466,32.057104065908646,50.98542061353954,88.4576041393378,0.0,102.86003225951364,57.45305557346715,125.78466815516049,113.05879533674602,79.8822656416909,93.15061771381953,133.5916991101848,106.02825554550824,119.91645486589934,104.93539208905018,129.73137627778692,155.2739155095066,144.25315127926146,163.7339441493258,98.075060559613,95.95165521666887,153.10093304771306,54.243020320724526,67.5593641153604
Jos,65.31297369557501,54.38945169800964,71.48708784,77.09200937669515,181.97649802765287,165.42201547864147,109.37773352235013,125.32696564765547,35.02139729292511,159.8458762406031,78.86631197758219,91.91443921992722,100.61974320277264,90.65795949209448,55.829666880000005,104.36168179741371,51.539393036974865,102.86003225951364,0.0,149.17719803705694,222.80612310621146,212.95890051995522,170.33167949223136,199.57055304000002,160.38321468901023,143.39639822157764,128.07307073998442,123.72439032,167.0959100148186,173.1703376398173,195.4689768657392,173.49541553064572,157.10255493014873,166.63679159999998,179.91960912,156.9731514927572,166.6234619976692
Ado-Ekiti,201.17376012531923,125.22166666884303,189.03165701796797,153.02471604699423,171.14869287412034,188.38230584256215,165.90329164165715,255.17953968346046,183.7665159115085,308.392310121938,223.93975316372428,215.35547376274044,249.79365517272845,131.1269875005095,81.49394704953866,52.62811732256529,117.3048409776579,57.45305557346715,149.17719803705694,0.0,73.76243971639806,66.28619668170137,22.561869166286705,45.821565854197985,106.90140765969375,80.32572920189763,109.26152664002606,88.53626918848346,96.97047052641624,129.63126653612974,100.10077857313429,141.47607012280582,58.21102152727957,46.597120056976934,116.26832454945783,38.30302359083195,23.989347628449526
Ikeja,272.47212359923896,194.64979248274065,257.68512563818655,218.2235187929625,205.07290530834143,232.71009706476184,224.57540993547138,326.8374041733575,257.48603549910604,382.15318501511365,297.58787361177883,286.89427386221496,323.41914220685044,197.18906608733508,153.83881685999643,124.20766129481622,189.8272781897811,125.78466815516049,222.80612310621146,73.76243971639806,0.0,19.43103044178082,54.39279830808301,33.429244002817875,147.9897779188151,129.30578027207008,164.7199245504355,143.49563153257253,133.10133446581978,167.51736375540887,116.55206871905806,181.3849260883654,99.64239741151704,79.4540902196882,141.55222806000336,77.70965708412281,58.26294574643756
Abeokuta,259.73235371586475,181.3083239036138,243.5834718883572,203.09388384923858,185.80944158259598,213.97891970204844,207.79766683959278,321.46046204372664,247.89971350298413,372.77307174351546,289.27257084922365,281.62251501914153,313.2953319172682,195.2175107360026,142.71318457472057,118.70199758813612,183.57966224412777,113.05879533674602,212.95890051995522,66.28619668170137,19.43103044178082,0.0,51.35055647699055,20.72812841678044,153.66570096888407,132.34743112126029,166.56350870896466,145.12678428576334,139.63436597623837,174.41285417629484,127.0137194741574,187.98485337347674,103.36906376126444,83.54332451608867,150.87616545989974,61.87948617885848,46.339236402626625
Ondo,223.5030341586696,147.77933167101048,211.59155830170934,175.4066825317331,187.23546294867793,207.1547111289681,187.44378443609418,272.47070190329396,204.6263602394455,328.8834306258639,243.79552679926886,232.53130990249082,270.8384855822782,144.09139700241855,103.75957787065998,69.84756308319312,135.49230307195268,79.8822656416909,170.33167949223136,22.561869166286705,54.39279830808301,51.35055647699055,0.0,33.55137808420808,106.37883039057428,82.68617878433336,115.79206197629735,94.37353078977512,93.92974167442523,128.33627280056277,89.71856363759717,141.26979758886282,55.29567158059807,37.65501406749007,109.67538603847412,49.86265141747452,26.12851597066474
Ibadan,239.95441910648142,161.78708046422616,207.68465496000002,184.827045944437,176.17137017612296,201.6493857874255,191.3526635294999,300.96059875190883,227.25689327593702,352.1258546604638,268.5476077905004,261.15729143474005,292.7445730502826,175.83497376357175,148.13115528000003,98.40482590418027,163.01297757383156,93.15061771381953,199.57055304000002,45.821565854197985,33.429244002817875,20.72812841678044,33.55137808420808,0.0,139.2606957495718,116.17857349369513,149.26797701424763,127.98784296000001,126.14725652803018,160.8329558332667,117.68586869798415,174.032252371266,88.24272627429612,69.17372688,137.58114288000002,44.41291546396203,25.831053296710593
Umuahia,225.58154032147922,173.1389567791109,227.51058414347477,208.24840774043054,265.51017216320076,272.6336329592071,233.1835967047869,214.13614116418688,184.74870417361268,292.9939544856043,208.24634101678964,177.21771850809097,245.47282678751256,81.74141005580593,130.83012485372356,83.2140151218141,108.96955818510664,133.5916991101848,160.38321468901023,106.90140765969375,147.9897779188151,153.66570096888407,106.37883039057428,139.2606957495718,0.0,27.984351657895264,35.043255770072655,31.9192566628631,15.945723665756635,22.804093973641052,46.85640367459759,34.92291631386703,51.09066694666088,70.20483873906986,30.563964129968827,144.79359884593194,128.38079458644316
