capital_city,Dutse,Tudun Wada,Kano,Funtua,Birnin Kebbi,Sokoto,Jenyau,Yola,Bauchi,Hausari,Gombe,Jalingo,Damaturu,Chigo,Abuja,Lokoja,Lafia,Bida,Jos,Ado-Ekiti,Ikeja,Abeokuta,Ondo,Ibadan,Umuahia,Awka,Abakaliki,Enugu,Owerri,Uyo,Yenagoa,Calabar,Boji-Boji,Benin City,Port Harcourt,Ilorin,Oshogbo
Dutse,0.0,102830.35649715266,1250420.3968700275,69177.2614404695,3429.908623994664,18436.259499704476,15408.772231713841,7501.902918488644,70351.13638889382,24943.60048673525,59309.65351074208,4637.716695222685,778.3156825484169,11113.625624627788,82.52547413307744,2539.0791524711467,8348.083931464025,7222.641358913165,59050.66103085064,6182.9214450429545,26818.67813001283,7512.724071596076,6608.151317085406,10692.900437945264,6948.448398817579,3805.9423427785946,3449.12070977558,8440.716474620216,11822.291937259137,8051.463794641403,467.36579664474766,6684.299500221965,5728.5093799070055,13516.506664715045,10041.042525744551,15905.970492117736,13731.310908408055
Tudun Wada,102830.35649715266,0.0,6111844.453695469,6212921.533982418,149006.55097335047,687484.1579674938,747875.9133258573,104115.7199145706,660867.4677877177,239546.6613487822,536785.6197717866,73278.72488184524,4644.25841670344,399632.6723548952,12517.477540619891,167359.99764342757,413680.7080608769,755358.7154069977,1963493.1441733218,367970.08032103855,1211737.931130769,355507.7937709686,348541.5042116434,542375.9500831267,271982.16795656196,169006.6911993129,137003.25376310555,371120.8560073596,478399.286349205,289470.9771993352,18574.707121302854,230163.87971810502,269993.18293027027,650933.25880719,379199.0204314504,1002658.8899779533,781941.6992778141
Kano,1250420.3968700275,6111844.453695469,0.0,6729988.599723417,192145.1731526547,1125099.8578474356,1279880.9020014766,204241.1342900171,1412783.7463516307,657712.2542750041,1282230.7693773226,125973.52016667588,15296.811417887237,388279.97440038656,4491.399052300989,106700.28108235337,300300.5562810543,346877.64893232565,1925647.3361107097,273574.49014509097,1171415.8764790785,333704.60019229166,288043.7373736485,557638.172274373,266870.1666652344,149863.93281766245,129133.92546658285,339056.69418450346,461872.83034020656,303784.26875804993,18583.33710617534,248729.0666510714,233774.12387664552,673666.3070733969,409236.3757557021,744177.4757615902,619329.6788226097
Funtua,69177.2614404695,6212921.533982418,6729988.599723417,0.0,105400.21437817927,609890.2435193744,1528491.1794777496,46596.466834076586,260926.71006362207,128081.7852307184,243169.73511896527,29951.395741931683,2454.1924661650596,129903.71949966758,2245.004936554918,48221.20153566456,107963.50551276768,205937.92910937386,512201.1146719632,129136.43783686952,505258.91366804554,148488.0221154837,129655.25616744712,217799.83931576915,98529.69644920329,58322.49254174406,46810.06784790697,124736.3297240402,174487.50559152558,108152.49530165826,7092.427193615194,86619.61673093881,95506.49565295612,236246.02332152892,144041.63300107568,382270.69608844735,295795.0249185089
Birnin Kebbi,3429.908623994664,149006.55097335047,192145.1731526547,105400.21437817927,0.0,955334.6221285437,72649.61305893838,6035.72808258155,18032.222675028665,17399.32227539534,23919.98385715629,3494.9014507813395,248.33511028210623,17329.372836840324,216.89703463463994,7790.225309944216,10796.995771472702,34247.09000281103,29242.323445678026,32840.368845846075,182005.18347068861,56432.954544992164,36198.40309982147,76260.76682813912,19281.971100036455,11164.594819135535,7855.117918969874,21954.35264952008,35988.980869481544,21304.439993614975,1652.699475384959,16687.14677911363,20746.775782865785,56545.40638748895,31345.784561612054,127988.3393816917,92012.86644943983
Sokoto,18436.259499704476,687484.1579674938,1125099.8578474356,609890.2435193744,955334.6221285437,0.0,581209.7823387443,26402.059197867515,84599.75829918067,81402.59368069025,110395.92072690312,15143.176177694806,1201.8348892804656,67634.92909848175,819.0480803756124,27269.124550257362,43485.75838121292,113719.69470223144,132558.0676008603,101537.2226516334,529444.167011815,159395.7218387623,110771.05653940569,218036.058467489,68502.30610905198,39156.50737723707,28867.221379654373,78741.90861213507,125585.13586170024,76572.15868451899,5609.121243387325,60683.64660940309,69741.52367792487,184277.85386495313,109188.76054822921,356617.71597805194,267856.316028737
Jenyau,15408.772231713841,747875.9133258573,1279880.9020014766,1528491.1794777496,72649.61305893838,581209.7823387443,0.0,13767.067195820055,59044.67692807161,40941.59309006877,65537.3813982652,8341.686489879667,702.7409649294201,36019.54554901535,538.0464923742496,13977.411331184268,26467.156596650384,61294.93882406872,100465.26360672108,43378.69462530014,188368.03527069875,56003.903123929435,44828.56394862321,80229.50147636203,31027.661715604656,18105.95181813062,13996.029156464003,37692.46069685615,55765.10680427959,34326.66314588639,2357.232501507855,27378.030204221093,30770.164178355426,78320.09894314865,47035.64421699073,139401.178813453,105369.24361317507
Yola,7501.902918488644,104115.7199145706,204241.1342900171,46596.466834076586,6035.72808258155,26402.059197867515,13767.067195820055,0.0,108245.37750643179,248245.34075967345,590822.5207233239,223322.5107968108,2825.8148999683112,75424.60281400333,171.6428286356906,8648.719864188055,31346.08329638525,16599.44467934488,84021.66616885936,20132.669144918375,97650.54611431275,25695.144941480878,23295.06169666348,35611.51123172542,40399.09796088072,18931.192212425103,20719.158722175343,43658.6979916666,64136.34909596196,52646.90880706651,2430.4922433558195,47243.99430505382,25256.02168875748,55813.37137712455,57904.10924175199,44271.28691308769,43125.26424785676
Bauchi,70351.13638889382,660867.4677877177,1412783.7463516307,260926.71006362207,18032.222675028665,84599.75829918067,59044.67692807161,108245.37750643179,0.0,193381.9572890734,1339498.9829159535,95200.2397317537,6445.265539142261,164758.2413309096,755.3155766748973,25879.501871034638,135781.38676889052,58906.103339765046,1474721.6931387188,53205.553046591405,215639.08955135444,59217.60246824496,56607.89376962723,85599.69687140241,74385.01924202844,40255.421404424495,40820.92005996701,94189.81947266536,121985.96026014474,86808.21860482551,4522.2823222239895,73466.49915454771,55872.23765768626,125442.66659386452,101326.74192803164,122970.50143014635,111475.89621349574
Hausari,24943.60048673525,239546.6613487822,657712.2542750041,128081.7852307184,17399.32227539534,81402.59368069025,40941.59309006877,248245.34075967345,193381.9572890734,0.0,781112.7695499065,72557.00022504924,16090.619343902776,90235.50104456283,337.9689611152492,15240.408450498462,44872.31032238288,34457.13345194531,149828.96255928278,39985.66120868664,207196.07353705427,55428.7956932424,46380.75400574439,75462.66993469853,62596.86746867815,30545.12201838583,29440.164020847034,67156.83360554106,104003.04270237776,79062.30423304976,4214.46757851661,68418.77270329234,44306.33062130496,102817.5480215199,94960.20098611597,95844.80812367555,89958.99764437547
