capital_city,Dutse,Tudun Wada,Kano,Funtua,Birnin Kebbi,Sokoto,Jenyau,Yola,Bauchi,Hausari,Gombe,Jalingo,Damaturu,Chigo,Abuja,Lokoja,Lafia,Bida,Jos,Ado-Ekiti,Ikeja,Abeokuta,Ondo,Ibadan,Umuahia,Awka,Abakaliki,Enugu,Owerri,Uyo,Yenagoa,Calabar,Boji-Boji,Benin City,Port Harcourt,Ilorin,Oshogbo
Dutse,0.0,7398.063187695414,103331.78489339007,2734.096042370691,98.40003672242908,828.4880595717058,377.59261222788666,292.1498278531332,2154.271840848623,1222.9106060658557,2850.1710003058965,130.437184046001,11.853533033251269,563.6182364041049,,103.93685688380494,314.5094445041661,293.8824902520477,2548.006480837051,445.3780206365472,7237.50082632545,829.5718215399304,535.0379837685697,1236.2397535559999,664.0724462458518,322.79288181274796,180.59022749011285,793.318043646687,1491.5192864335559,792.2834695109898,19.163997695013286,518.5480058904423,446.03063372439715,1628.048411364561,1209.4424166510476,1490.3315420557415,1305.6282505845447
Tudun Wada,7398.063187695413,0.0,2546497.5120980754,925374.9203576737,17323.294842658117,127122.33271256677,73448.60536123006,18417.0777079787,95579.36509777,55346.13519602955,122287.92052263458,9240.861041200518,349.57233548483134,83697.87737382259,,26628.834859001294,62331.70584016247,114074.84612335476,352638.2333153077,104085.5370819826,1319980.5545482463,157726.69984480328,112162.16674407605,250202.60176774347,106440.64599148021,57959.706810182586,29330.481315729507,141180.42399322524,246327.86258857866,117636.60034094122,3114.077089482378,74058.82477424757,84498.58693936556,314468.26151624264,187702.2427733856,366793.24725126853,293251.5930641198
Kano,103331.78489339004,2546497.5120980754,0.0,1466354.5686965368,32113.442237433694,292033.0799503281,175656.4991056209,49803.46909703309,279256.9457050251,202555.10236460654,394827.1483705306,22190.052153807534,1507.0504676433964,120260.97114865134,,26187.216235976593,68894.64267101813,83499.77680730987,510971.5057515426,117544.36851002586,1888053.750085122,219705.8571642376,139317.15292608595,378279.96772510884,154299.95361801487,76703.42227147956,41008.35722505085,191924.49453812634,351922.39089958044,181167.94193820094,4593.942706866434,117104.0478825231,109451.91877688856,478265.4473293435,296442.48173903546,413587.08660107077,350580.5391106306
Funtua,2734.096042370691,925374.9203576735,1466354.5686965373,0.0,6697.934932272659,60262.87595778203,73792.37933216228,4716.4109829445115,21865.82147952441,16634.614200776618,31660.60812682585,2180.949419871108,103.96040961367211,16073.738246153916,,4587.940770155846,9824.205971415258,18700.472807176957,55556.81272832391,21416.128363413758,317175.9101530202,37957.81384221573,24320.156344832365,58118.06519949555,22535.616957947856,11746.352986977658,5891.211957892516,27941.01832048223,52472.03127710524,25607.591811754297,691.2782428436744,16226.912852994601,17510.536597700855,66689.88499977838,41473.063513270026,81312.11520552318,64552.50956542342
Birnin Kebbi,98.40003672242908,17323.294842658117,32113.442237433694,6697.934932272659,0.0,48512.932768187646,2556.695891250025,402.851402970404,1061.0544642116479,1483.0214237979112,2110.958545277753,169.57268753137265,7.110150053586894,1409.7959318024564,,478.07146498159057,664.8367925255712,2000.0710120158733,2270.1040939254417,3357.055263289801,68015.39400350346,8541.86392725117,4146.388071087829,12148.555088953952,2790.5482409725614,1425.947304890948,635.2299567709093,3144.9327663312633,6812.190708498485,3189.7245971604534,100.16274516592897,1981.1592071486195,2381.878563211572,9898.827062194607,5650.440966893576,16325.592193030303,12130.516259974262
Sokoto,828.4880595717058,127122.33271256677,292033.0799503281,60262.875957782024,48512.932768187646,0.0,30789.91424991633,2817.746756758273,7904.3344605622315,11020.02301214637,15495.028922635393,1175.9788128171717,54.46838982141581,8899.085600767517,,2736.1609395503347,4317.123852479572,10916.313049385057,16396.09357149741,17182.79370567845,329541.2201458191,40303.41914415023,21026.786303901208,57952.05270171863,16185.558129767904,8175.383168483413,3798.3744356147486,18397.884740358855,38879.29460263925,18695.351526273997,557.5410136866304,11734.909923729436,13144.561693267347,53124.117491226265,32197.41546834823,76091.81788704685,58812.1477197851
Jenyau,377.59261222788666,73448.60536123006,175656.49910562087,73792.37933216228,2556.6958912500254,30789.91424991633,0.0,839.9177535859798,3063.002195618191,3179.8591298797105,5190.705366272818,368.28516984299233,17.999128931858852,2703.5063213332814,,803.1065503699264,1479.0070932497554,3352.4132875805735,6842.90813235975,4280.86358875597,69635.3263795706,8420.946274535614,4989.3056592522025,12622.50500773805,4250.291182257344,2187.1336495090673,1060.4475145861268,5077.65425470576,10028.864869024803,4863.957789824697,136.86272667925343,3070.6390549310563,3371.104280581768,13173.565530580445,8081.5895610948055,17500.347514299156,13603.45885533076
Yola,292.14982785313316,18417.0777079787,49803.46909703309,4716.4109829445115,402.851402970404,2817.7467567582735,839.9177535859799,0.0,7815.776620619157,23810.674329571004,55541.37429199957,10495.764753708449,93.12883422485706,7775.418872428,,771.0185495994027,2546.934264444974,1529.9550974417891,8615.839839926592,3172.582041136695,57009.78715612224,6176.600007046485,4093.5238760753887,8986.597976339235,7970.730491807192,3366.7847322356993,2232.229339720973,8570.711343419569,16820.480142921082,10570.025603843449,208.04961075801688,7419.8960503814005,4173.523709835617,14361.537776513125,14410.197473769671,9217.982633485008,9002.94394174369
Bauchi,2154.271840848623,95579.36509777002,279256.94570502505,21865.82147952441,1061.0544642116479,7904.3344605622315,3063.0021956181904,7815.776620619157,0.0,18705.02169523036,114119.16732592901,4792.412966138442,192.38744203753097,15450.041802583395,,2033.6380599330905,9371.608926798566,4704.829693081961,111683.67057861552,7482.86769733199,114393.70117635411,12879.36382140996,8952.705658289415,19462.29783332143,13580.185916022618,6529.8360990091805,4042.0676412374246,16840.768080522394,29507.24089714389,16306.11010718543,357.8237450500122,10858.540222952763,8387.954311997371,29278.068597157755,23452.455291800867,22737.984366082303,20815.842312731907
Hausari,1222.9106060658557,55346.13519602954,202555.10236460657,16634.614200776618,1483.0214237979112,11020.023012146368,3179.8591298797105,23810.674329571004,18705.02169523036,0.0,101374.28243555618,5417.093957221907,632.6309812670581,12971.252134637913,,1822.5744172660968,4993.59726330417,4191.079092281901,20585.51785451383,8352.09910949264,159281.6421614532,17515.621676961357,10800.503904636393,25078.5859273536,16781.899217983762,7351.619198845242,4347.406535627638,17927.2841281536,36894.88517242406,21636.804252561156,484.7197130565147,14700.21781413017,9825.932757282293,35332.728570536456,31930.01283658382,26225.140978054475,24771.15434808874
Gombe,2850.1710003058965,122287.92052263458,394827.1483705306,31660.60812682585,2110.958545277753,15495.028922635394,5190.705366272818,55541.37429199957,114119.16732592901,101374.28243555618,0.0,26559.426819339325,1294.99512225682,32159.610119802186,,3693.308499503151,13981.344857918055,8023.611365965121,72498.14848426494,14670.778199885508,246713.58920799458,27301.087441016876,18280.18469179012,40330.00377979205,30637.597308574917,13846.859704678727,8796.969841658858,35338.76933642552,65871.80986488496,38525.976469296016,812.4219574107642,26240.793037528645,17611.26223784341,61375.600168821235,54408.40301091761,44122.86195542558,41561.891829271124
Jalingo,130.437184046001,9240.861041200518,22190.052153807534,2180.9494198711086,169.57268753137265,1175.9788128171717,368.28516984299233,10495.764753708449,4792.412966138442,5417.093957221906,26559.42681933933,0.0,30.56690123213628,4953.217806162553,,398.7632845911615,1633.9167667660474,750.0513382852275,5250.530917337005,1501.6576664771153,25139.890587389862,2733.3422637251215,1898.9896233446782,4045.805334838799,3907.8997507034683,1684.6948775961896,1185.5344359703595,4437.4485865586275,8112.073612783618,5082.665940341185,96.06222326165226,3570.033177638483,2013.6950275931308,6784.046593647938,6720.875688648481,4242.263476297679,4147.42123017704
